Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"352.53000","-0.98998","-0.00693"
"352.63000","-0.98998","-0.00681"
"352.73000","-0.98998","-0.00677"
"352.83000","-0.98998","-0.00679"
"352.93000","-0.98998","-0.00684"
"353.03000","-0.98998","-0.00694"
"353.13000","-0.98998","-0.00679"
"353.23000","-0.98998","-0.00687"
"353.33000","-0.98998","-0.00694"
"353.43000","-0.98998","-0.00692"
"353.53000","-0.98998","-0.00679"
"353.63000","-0.98998","-0.00677"
"353.73000","-0.98998","-0.00682"
"353.83000","-0.98998","-0.00689"
"353.93000","-0.98998","-0.00687"
"354.03000","-0.98998","-0.00673"
"354.13000","-0.98998","-0.00672"
"354.23000","-0.98998","-0.00678"
"354.33000","-0.98998","-0.00674"
"354.43000","-0.98998","-0.00682"
"354.53000","-0.98998","-0.00686"
"354.63000","-0.98998","-0.00683"
"354.73000","-0.98998","-0.00676"
"354.83000","-0.98998","-0.00679"
"354.93000","-0.98998","-0.00672"
"355.03000","-0.98998","-0.00678"
"355.13000","-0.98998","-0.00682"
"355.23000","-0.98998","-0.00686"
"355.33000","-0.98998","-0.00680"
"355.43000","-0.98998","-0.00681"
"355.53000","-0.98998","-0.00674"
"355.63000","-0.98998","-0.00681"
"355.73000","-0.98998","-0.00681"
"355.83000","-0.98998","-0.00682"
"355.93000","-0.98998","-0.00667"
"356.03000","-0.98998","-0.00673"
"356.13000","-0.98998","-0.00682"
"356.23000","-0.98998","-0.00673"
"356.33000","-0.98998","-0.00682"
"356.43000","-0.98998","-0.00684"
"356.53000","-0.98998","-0.00682"
"356.63000","-0.98998","-0.00683"
"356.73000","-0.98998","-0.00679"
"356.83000","-0.98998","-0.00665"
"356.93000","-0.98998","-0.00671"
"357.03000","-0.98998","-0.00684"
"357.13000","-0.98998","-0.00680"
"357.23000","-0.98998","-0.00678"
"357.33000","-0.98998","-0.00680"
"357.43000","-0.98998","-0.00670"
"357.53000","-0.98998","-0.00683"
"357.63000","-0.98998","-0.00665"
"357.73000","-0.98998","-0.00673"
"357.83000","-0.98998","-0.00666"
"357.93000","-0.98998","-0.00674"
"358.03000","-0.98998","-0.00668"
"358.13000","-0.98998","-0.00668"
"358.23000","-0.98998","-0.00664"
"358.33000","-0.98998","-0.00664"
"358.43000","-0.98998","-0.00668"
"358.53000","-0.98998","-0.00665"
"358.63000","-0.98998","-0.00666"
"358.73000","-0.98998","-0.00660"
"358.83000","-0.98998","-0.00665"
"358.93000","-0.98998","-0.00656"
"359.03000","-0.98998","-0.00668"
"359.13000","-0.98998","-0.00666"
"359.23000","-0.98998","-0.00663"
"359.33000","-0.98998","-0.00666"
"359.43000","-0.98998","-0.00680"
"359.53000","-0.98998","-0.00661"
"359.63000","-0.98998","-0.00663"
"359.73000","-0.98998","-0.00672"
"359.83000","-0.98998","-0.00667"
"359.93000","-0.98998","-0.00669"
"360.03000","-0.98998","-0.00671"
"360.13000","-0.98998","-0.00666"
"360.23000","-0.98998","-0.00661"
"360.33000","-0.98998","-0.00672"
"360.43000","-0.98998","-0.00673"
"360.53000","-0.98998","-0.00671"
"360.63000","-0.98998","-0.00662"
"360.73000","-0.98998","-0.00654"
"360.83000","-0.98998","-0.00657"
"360.93000","-0.98998","-0.00661"
"361.03000","-0.98998","-0.00658"
"361.13000","-0.98998","-0.00657"
"361.23000","-0.98998","-0.00665"
"361.33000","-0.98998","-0.00657"
"361.43000","-0.98998","-0.00663"
"361.53000","-0.98998","-0.00662"
"361.63000","-0.98998","-0.00658"
"361.73000","-0.98998","-0.00659"
"361.83000","-0.98998","-0.00667"
"361.93000","-0.98998","-0.00660"
"362.03000","-0.98998","-0.00655"
"362.13000","-0.98998","-0.00662"
"362.23000","-0.98998","-0.00666"
"362.33000","-0.98998","-0.00670"
"362.43000","-0.98998","-0.00665"
"362.53000","-0.98998","-0.00654"
"362.63000","-0.98998","-0.00664"
"362.73000","-0.98998","-0.00660"
"362.83000","-0.98998","-0.00664"
"362.93000","-0.98998","-0.00675"
"363.03000","-0.98998","-0.00661"
"363.13000","-0.98998","-0.00659"
"363.23000","-0.98998","-0.00662"
"363.33000","-0.98998","-0.00662"
"363.43000","-0.98998","-0.00668"
"363.53000","-0.98998","-0.00661"
"363.63000","-0.98998","-0.00652"
"363.73000","-0.98998","-0.00667"
"363.83000","-0.98998","-0.00663"
"363.93000","-0.98998","-0.00658"
"364.03000","-0.98998","-0.00656"
"364.13000","-0.98998","-0.00652"
"364.23000","-0.98998","-0.00662"
"364.33000","-0.98998","-0.00667"
"364.43000","-0.98998","-0.00655"
"364.53000","-0.98998","-0.00662"
"364.63000","-0.98998","-0.00661"
"364.73000","-0.98998","-0.00660"
"364.83000","-0.98998","-0.00655"
"364.93000","-0.98998","-0.00643"
"365.03000","-0.98998","-0.00655"
"365.13000","-0.98998","-0.00661"
"365.23000","-0.98998","-0.00662"
"365.33000","-0.98998","-0.00653"
"365.43000","-0.98998","-0.00650"
"365.53000","-0.98998","-0.00657"
"365.63000","-0.98998","-0.00653"
"365.73000","-0.98998","-0.00657"
"365.83000","-0.98998","-0.00660"
"365.93000","-0.98998","-0.00653"
"366.03000","-0.98998","-0.00645"
"366.13000","-0.98998","-0.00651"
"366.23000","-0.98998","-0.00660"
"366.33000","-0.98998","-0.00648"
"366.43000","-0.98998","-0.00656"
"366.53000","-0.98998","-0.00659"
"366.63000","-0.98998","-0.00661"
"366.73000","-0.98998","-0.00651"
"366.83000","-0.98998","-0.00650"
"366.93000","-0.98998","-0.00656"
"367.03000","-0.98998","-0.00662"
"367.13000","-0.98998","-0.00663"
"367.23000","-0.98998","-0.00660"
"367.33000","-0.98998","-0.00649"
"367.43000","-0.98998","-0.00657"
"367.53000","-0.98998","-0.00655"
"367.63000","-0.98998","-0.00647"
"367.73000","-0.98998","-0.00651"
"367.83000","-0.98998","-0.00654"
"367.93000","-0.98998","-0.00663"
"368.03000","-0.98998","-0.00650"
"368.13000","-0.98998","-0.00656"
"368.23000","-0.98998","-0.00648"
"368.33000","-0.98998","-0.00653"
"368.43000","-0.98998","-0.00656"
"368.53000","-0.98998","-0.00661"
"368.63000","-0.98998","-0.00647"
"368.73000","-0.98998","-0.00643"
"368.83000","-0.98998","-0.00643"
"368.93000","-0.98998","-0.00645"
"369.03000","-0.98998","-0.00647"
"369.13000","-0.98998","-0.00646"
"369.23000","-0.98998","-0.00638"
"369.33000","-0.98998","-0.00650"
"369.43000","-0.98998","-0.00654"
"369.53000","-0.98998","-0.00646"
"369.63000","-0.98998","-0.00645"
"369.73000","-0.98998","-0.00642"
"369.83000","-0.98998","-0.00660"
"369.93000","-0.98998","-0.00657"
"370.03000","-0.98998","-0.00640"
"370.13000","-0.98998","-0.00642"
"370.23000","-0.98998","-0.00653"
"370.33000","-0.98998","-0.00663"
"370.43000","-0.98998","-0.00655"
"370.53000","-0.98998","-0.00648"
"370.63000","-0.98998","-0.00641"
"370.73000","-0.98998","-0.00650"
"370.83000","-0.98998","-0.00650"
"370.93000","-0.98998","-0.00648"
"371.03000","-0.98998","-0.00653"
"371.13000","-0.98998","-0.00643"
"371.23000","-0.98998","-0.00645"
"371.33000","-0.98998","-0.00654"
"371.43000","-0.98998","-0.00643"
"371.53000","-0.98998","-0.00639"
"371.63000","-0.98998","-0.00647"
"371.73000","-0.98998","-0.00645"
"371.83000","-0.98998","-0.00649"
"371.93000","-0.98998","-0.00640"
"372.03000","-0.98998","-0.00634"
"372.13000","-0.98998","-0.00638"
"372.23000","-0.98998","-0.00658"
"372.33000","-0.98998","-0.00645"
"372.43000","-0.98998","-0.00640"
"372.53000","-0.98998","-0.00620"
"372.63000","-0.98998","-0.00634"
"372.73000","-0.98998","-0.00637"
"372.83000","-0.98998","-0.00645"
"372.93000","-0.98998","-0.00642"
"373.03000","-0.98998","-0.00639"
"373.13000","-0.98998","-0.00644"
"373.23000","-0.98998","-0.00641"
"373.33000","-0.98998","-0.00644"
"373.43000","-0.98998","-0.00637"
"373.53000","-0.98998","-0.00641"
"373.63000","-0.98998","-0.00638"
"373.73000","-0.98998","-0.00638"
"373.83000","-0.98998","-0.00631"
"373.93000","-0.98998","-0.00637"
"374.03000","-0.98998","-0.00639"
"374.13000","-0.98998","-0.00647"
"374.23000","-0.98998","-0.00644"
"374.33000","-0.98998","-0.00644"
"374.43000","-0.98998","-0.00633"
"374.53000","-0.98998","-0.00631"
"374.63000","-0.98998","-0.00637"
"374.73000","-0.98998","-0.00637"
"374.83000","-0.98998","-0.00628"
"374.93000","-0.98998","-0.00644"
"375.03000","-0.98998","-0.00645"
"375.13000","-0.98998","-0.00645"
"375.23000","-0.98998","-0.00624"
"375.33000","-0.98998","-0.00635"
"375.43000","-0.98998","-0.00626"
"375.53000","-0.98998","-0.00643"
"375.63000","-0.98998","-0.00634"
"375.73000","-0.98998","-0.00639"
"375.83000","-0.98998","-0.00632"
"375.93000","-0.98998","-0.00625"
"376.03000","-0.98998","-0.00638"
"376.13000","-0.98998","-0.00640"
"376.23000","-0.98998","-0.00638"
"376.33000","-0.98998","-0.00637"
"376.43000","-0.98998","-0.00640"
"376.53000","-0.98998","-0.00625"
"376.63000","-0.98998","-0.00634"
"376.73000","-0.98998","-0.00634"
"376.83000","-0.98998","-0.00634"
"376.93000","-0.98998","-0.00644"
"377.03000","-0.98998","-0.00645"
"377.13000","-0.98998","-0.00639"
"377.23000","-0.98998","-0.00637"
"377.33000","-0.98998","-0.00641"
"377.43000","-0.98998","-0.00640"
"377.53000","-0.98998","-0.00651"
"377.63000","-0.98998","-0.00644"
"377.73000","-0.98998","-0.00626"
"377.83000","-0.98998","-0.00634"
"377.93000","-0.98998","-0.00634"
"378.03000","-0.98998","-0.00649"
"378.13000","-0.98998","-0.00638"
"378.23000","-0.98998","-0.00639"
"378.33000","-0.98998","-0.00630"
"378.43000","-0.98998","-0.00635"
"378.53000","-0.98998","-0.00627"
"378.63000","-0.98998","-0.00623"
"378.73000","-0.98998","-0.00634"
"378.83000","-0.98998","-0.00636"
"378.93000","-0.98998","-0.00637"
"379.03000","-0.98998","-0.00629"
"379.13000","-0.98998","-0.00620"
"379.23000","-0.98998","-0.00617"
"379.33000","-0.98998","-0.00634"
"379.43000","-0.98998","-0.00642"
"379.53000","-0.98998","-0.00631"
"379.63000","-0.98998","-0.00627"
"379.73000","-0.98998","-0.00624"
"379.83000","-0.98998","-0.00621"
"379.93000","-0.98998","-0.00629"
"380.03000","-0.98998","-0.00633"
"380.13000","-0.98998","-0.00626"
"380.23000","-0.98998","-0.00631"
"380.33000","-0.98998","-0.00635"
"380.43000","-0.98998","-0.00630"
"380.53000","-0.98998","-0.00623"
"380.63000","-0.98998","-0.00624"
"380.73000","-0.98998","-0.00637"
"380.83000","-0.98998","-0.00626"
"380.93000","-0.98998","-0.00629"
"381.03000","-0.98998","-0.00621"
"381.13000","-0.98998","-0.00629"
"381.23000","-0.98998","-0.00628"
"381.33000","-0.98998","-0.00633"
"381.43000","-0.98998","-0.00633"
"381.53000","-0.98998","-0.00638"
"381.63000","-0.98998","-0.00623"
"381.73000","-0.98998","-0.00625"
"381.83000","-0.98998","-0.00636"
"381.93000","-0.98998","-0.00631"
"382.03000","-0.98998","-0.00629"
"382.13000","-0.98998","-0.00628"
"382.23000","-0.98998","-0.00624"
"382.33000","-0.98998","-0.00628"
"382.43000","-0.98998","-0.00624"
"382.53000","-0.98998","-0.00616"
"382.63000","-0.98998","-0.00623"
"382.73000","-0.98998","-0.00636"
"382.83000","-0.98998","-0.00630"
"382.93000","-0.98998","-0.00624"
"383.03000","-0.98998","-0.00613"
"383.13000","-0.98998","-0.00630"
"383.23000","-0.98998","-0.00635"
"383.33000","-0.98998","-0.00627"
"383.43000","-0.98998","-0.00618"
"383.53000","-0.98998","-0.00623"
"383.63000","-0.98998","-0.00625"
"383.73000","-0.98998","-0.00619"
"383.83000","-0.98998","-0.00617"
"383.93000","-0.98998","-0.00623"
"384.03000","-0.98998","-0.00629"
"384.13000","-0.98998","-0.00628"
"384.23000","-0.98998","-0.00616"
"384.33000","-0.98998","-0.00617"
"384.43000","-0.98998","-0.00620"
"384.53000","-0.98998","-0.00630"
"384.63000","-0.98998","-0.00634"
"384.73000","-0.98998","-0.00626"
"384.83000","-0.98998","-0.00622"
"384.93000","-0.98998","-0.00618"
"385.03000","-0.98998","-0.00616"
"385.13000","-0.98998","-0.00617"
"385.23000","-0.98998","-0.00624"
"385.33000","-0.98998","-0.00621"
"385.43000","-0.98998","-0.00630"
"385.53000","-0.98998","-0.00628"
"385.63000","-0.98998","-0.00619"
"385.73000","-0.98998","-0.00614"
"385.83000","-0.98998","-0.00620"
"385.93000","-0.98998","-0.00615"
"386.03000","-0.98998","-0.00619"
"386.13000","-0.98998","-0.00620"
"386.23000","-0.98998","-0.00615"
"386.33000","-0.98998","-0.00615"
"386.43000","-0.98998","-0.00610"
"386.53000","-0.98998","-0.00624"
"386.63000","-0.98998","-0.00617"
"386.73000","-0.98998","-0.00613"
"386.83000","-0.98998","-0.00613"
"386.93000","-0.98998","-0.00617"
"387.03000","-0.98998","-0.00612"
"387.13000","-0.98998","-0.00605"
"387.23000","-0.98998","-0.00620"
"387.33000","-0.98998","-0.00617"
"387.43000","-0.98998","-0.00625"
"387.53000","-0.98998","-0.00615"
"387.63000","-0.98998","-0.00612"
"387.73000","-0.98998","-0.00608"
"387.83000","-0.98998","-0.00615"
"387.93000","-0.98998","-0.00625"
"388.03000","-0.98998","-0.00614"
"388.13000","-0.98998","-0.00611"
"388.23000","-0.98998","-0.00608"
"388.33000","-0.98998","-0.00616"
"388.43000","-0.98998","-0.00627"
"388.53000","-0.98998","-0.00623"
"388.63000","-0.98998","-0.00624"
"388.73000","-0.98998","-0.00618"
"388.83000","-0.98998","-0.00613"
"388.93000","-0.98998","-0.00613"
"389.03000","-0.98998","-0.00607"
"389.13000","-0.98998","-0.00618"
"389.23000","-0.98998","-0.00611"
"389.33000","-0.98998","-0.00624"
"389.43000","-0.98998","-0.00626"
"389.53000","-0.98998","-0.00611"
"389.63000","-0.98998","-0.00611"
"389.73000","-0.98998","-0.00615"
"389.83000","-0.98998","-0.00618"
"389.93000","-0.98998","-0.00609"
"390.03000","-0.98998","-0.00613"
"390.13000","-0.98998","-0.00610"
"390.23000","-0.98998","-0.00617"
"390.33000","-0.98998","-0.00609"
"390.43000","-0.98998","-0.00611"
"390.53000","-0.98998","-0.00605"
"390.63000","-0.98998","-0.00605"
"390.73000","-0.98998","-0.00611"
"390.83000","-0.98998","-0.00601"
"390.93000","-0.98998","-0.00608"
"391.03000","-0.98998","-0.00602"
"391.13000","-0.98998","-0.00610"
"391.23000","-0.98998","-0.00613"
"391.33000","-0.98998","-0.00612"
"391.43000","-0.98998","-0.00605"
"391.53000","-0.98998","-0.00615"
"391.63000","-0.98998","-0.00618"
"391.73000","-0.98998","-0.00610"
"391.83000","-0.98998","-0.00602"
"391.93000","-0.98998","-0.00602"
"392.03000","-0.98998","-0.00597"
"392.13000","-0.98998","-0.00621"
"392.23000","-0.98998","-0.00609"
"392.33000","-0.98998","-0.00618"
"392.43000","-0.98998","-0.00611"
"392.53000","-0.98998","-0.00620"
"392.63000","-0.98998","-0.00613"
"392.73000","-0.98998","-0.00615"
"392.83000","-0.98998","-0.00598"
"392.93000","-0.98998","-0.00609"
"393.03000","-0.98998","-0.00602"
"393.13000","-0.98998","-0.00608"
"393.23000","-0.98998","-0.00615"
"393.33000","-0.98998","-0.00609"
"393.43000","-0.98998","-0.00614"
"393.53000","-0.98998","-0.00602"
"393.63000","-0.98998","-0.00618"
"393.73000","-0.98998","-0.00609"
"393.83000","-0.98998","-0.00603"
"393.93000","-0.98998","-0.00609"
"394.03000","-0.98998","-0.00613"
"394.13000","-0.98998","-0.00607"
"394.23000","-0.98998","-0.00605"
"394.33000","-0.98998","-0.00608"
"394.43000","-0.98998","-0.00615"
"394.53000","-0.98998","-0.00610"
"394.63000","-0.98998","-0.00603"
"394.73000","-0.98998","-0.00602"
"394.83000","-0.98998","-0.00601"
"394.93000","-0.98998","-0.00613"
"395.03000","-0.98998","-0.00610"
"395.13000","-0.98998","-0.00603"
"395.23000","-0.98998","-0.00609"
"395.33000","-0.98998","-0.00603"
"395.43000","-0.98998","-0.00614"
"395.53000","-0.98998","-0.00606"
"395.63000","-0.98998","-0.00617"
"395.73000","-0.98998","-0.00604"
"395.83000","-0.98998","-0.00604"
"395.93000","-0.98998","-0.00604"
"396.03000","-0.98998","-0.00613"
"396.13000","-0.98998","-0.00603"
"396.23000","-0.98998","-0.00604"
"396.33000","-0.98998","-0.00602"
"396.43000","-0.98998","-0.00610"
"396.53000","-0.98998","-0.00609"
"396.63000","-0.98998","-0.00597"
"396.73000","-0.98998","-0.00596"
"396.83000","-0.98998","-0.00609"
"396.93000","-0.98998","-0.00604"
"397.03000","-0.98998","-0.00593"
"397.13000","-0.98998","-0.00589"
"397.23000","-0.98998","-0.00612"
"397.33000","-0.98998","-0.00604"
"397.43000","-0.98998","-0.00608"
"397.53000","-0.98998","-0.00598"
"397.63000","-0.98998","-0.00599"
"397.73000","-0.98998","-0.00597"
"397.83000","-0.98998","-0.00608"
"397.93000","-0.98998","-0.00599"
"398.03000","-0.98998","-0.00605"
"398.13000","-0.98998","-0.00595"
"398.23000","-0.98998","-0.00591"
"398.33000","-0.98998","-0.00605"
"398.43000","-0.98998","-0.00611"
"398.53000","-0.98998","-0.00605"
"398.63000","-0.98998","-0.00604"
"398.73000","-0.98998","-0.00595"
"398.83000","-0.98998","-0.00599"
"398.93000","-0.98998","-0.00601"
"399.03000","-0.98998","-0.00600"
"399.13000","-0.98998","-0.00602"
"399.23000","-0.98998","-0.00602"
"399.33000","-0.98998","-0.00611"
"399.43000","-0.98998","-0.00598"
"399.53000","-0.98998","-0.00600"
"399.63000","-0.98998","-0.00610"
"399.73000","-0.98998","-0.00607"
"399.83000","-0.98998","-0.00596"
"399.93000","-0.98998","-0.00601"
"400.03000","-0.98998","-0.00607"
"400.13000","-0.98998","-0.00601"
"400.23000","-0.98998","-0.00601"
"400.33000","-0.98998","-0.00609"
"400.43000","-0.98998","-0.00593"
"400.53000","-0.98998","-0.00597"
"400.63000","-0.98998","-0.00598"
"400.73000","-0.98998","-0.00589"
"400.83000","-0.98998","-0.00581"
"400.93000","-0.98998","-0.00587"
"401.03000","-0.98998","-0.00586"
"401.13000","-0.98998","-0.00596"
"401.23000","-0.98998","-0.00604"
"401.33000","-0.98998","-0.00602"
"401.43000","-0.98998","-0.00591"
"401.53000","-0.98998","-0.00591"
"401.63000","-0.98998","-0.00597"
"401.73000","-0.98998","-0.00590"
"401.83000","-0.98998","-0.00592"
"401.93000","-0.98998","-0.00595"
"402.03000","-0.98998","-0.00595"
"402.13000","-0.98998","-0.00596"
"402.23000","-0.98998","-0.00586"
"402.33000","-0.98998","-0.00592"
"402.43000","-0.98998","-0.00591"
"402.53000","-0.98998","-0.00596"
"402.63000","-0.98998","-0.00601"
"402.73000","-0.98998","-0.00593"
"402.83000","-0.98998","-0.00588"
"402.93000","-0.98998","-0.00601"
"403.03000","-0.98998","-0.00597"
"403.13000","-0.98998","-0.00601"
"403.23000","-0.98998","-0.00597"
"403.33000","-0.98998","-0.00597"
"403.43000","-0.98998","-0.00602"
"403.53000","-0.98998","-0.00589"
"403.63000","-0.98998","-0.00595"
"403.73000","-0.98998","-0.00588"
"403.83000","-0.98998","-0.00594"
"403.93000","-0.98998","-0.00588"
"404.03000","-0.98998","-0.00593"
"404.13000","-0.98998","-0.00590"
"404.23000","-0.98998","-0.00591"
"404.33000","-0.98998","-0.00605"
"404.43000","-0.98998","-0.00603"
"404.53000","-0.98998","-0.00600"
"404.63000","-0.98998","-0.00583"
"404.73000","-0.98998","-0.00580"
"404.83000","-0.98998","-0.00592"
"404.93000","-0.98998","-0.00605"
"405.03000","-0.98998","-0.00600"
"405.13000","-0.98998","-0.00586"
"405.23000","-0.98998","-0.00585"
"405.33000","-0.98998","-0.00590"
"405.43000","-0.98998","-0.00595"
"405.53000","-0.98998","-0.00595"
"405.63000","-0.98998","-0.00590"
"405.73000","-0.98998","-0.00598"
"405.83000","-0.98998","-0.00589"
"405.93000","-0.98998","-0.00588"
"406.03000","-0.98998","-0.00583"
"406.13000","-0.98998","-0.00591"
"406.23000","-0.98998","-0.00594"
"406.33000","-0.98998","-0.00607"
"406.43000","-0.98998","-0.00601"
"406.53000","-0.98998","-0.00587"
"406.63000","-0.98998","-0.00588"
"406.73000","-0.98998","-0.00597"
"406.83000","-0.98998","-0.00594"
"406.93000","-0.98998","-0.00599"
"407.03000","-0.98998","-0.00595"
"407.13000","-0.98998","-0.00590"
"407.23000","-0.98998","-0.00591"
"407.33000","-0.98998","-0.00592"
"407.43000","-0.98998","-0.00588"
"407.53000","-0.98998","-0.00595"
"407.63000","-0.98998","-0.00593"
"407.73000","-0.98998","-0.00600"
"407.83000","-0.98998","-0.00596"
"407.93000","-0.98998","-0.00584"
"408.03000","-0.98998","-0.00581"
"408.13000","-0.98998","-0.00587"
"408.23000","-0.98998","-0.00597"
"408.33000","-0.98998","-0.00587"
"408.43000","-0.98998","-0.00595"
"408.53000","-0.98998","-0.00592"
"408.63000","-0.98998","-0.00592"
"408.73000","-0.98998","-0.00588"
"408.83000","-0.98998","-0.00574"
"408.93000","-0.98998","-0.00595"
"409.03000","-0.98998","-0.00588"
"409.13000","-0.98998","-0.00595"
"409.23000","-0.98998","-0.00582"
"409.33000","-0.98998","-0.00584"
"409.43000","-0.98998","-0.00574"
"409.53000","-0.98998","-0.00585"
"409.63000","-0.98998","-0.00594"
"409.73000","-0.98998","-0.00602"
"409.83000","-0.98998","-0.00585"
"409.93000","-0.98998","-0.00576"
"410.03000","-0.98998","-0.00587"
"410.13000","-0.98998","-0.00599"
"410.23000","-0.98998","-0.00601"
"410.33000","-0.98998","-0.00593"
"410.43000","-0.98998","-0.00582"
"410.53000","-0.98998","-0.00588"
"410.63000","-0.98998","-0.00590"
"410.73000","-0.98998","-0.00583"
"410.83000","-0.98998","-0.00579"
"410.93000","-0.98998","-0.00601"
"411.03000","-0.98998","-0.00594"
"411.13000","-0.98998","-0.00587"
"411.23000","-0.98998","-0.00595"
"411.33000","-0.98998","-0.00585"
"411.43000","-0.98998","-0.00589"
"411.53000","-0.98998","-0.00589"
"411.63000","-0.98998","-0.00596"
"411.73000","-0.98998","-0.00585"
"411.83000","-0.98998","-0.00582"
"411.93000","-0.98998","-0.00577"
"412.03000","-0.98998","-0.00585"
"412.13000","-0.98998","-0.00598"
"412.23000","-0.98998","-0.00594"
"412.33000","-0.98998","-0.00592"
"412.43000","-0.98998","-0.00583"
"412.53000","-0.98998","-0.00587"
"412.63000","-0.98998","-0.00585"
"412.73000","-0.98998","-0.00580"
"412.83000","-0.98998","-0.00579"
"412.93000","-0.98998","-0.00590"
"413.03000","-0.98998","-0.00589"
"413.13000","-0.98998","-0.00578"
"413.23000","-0.98998","-0.00582"
"413.33000","-0.98998","-0.00583"
"413.43000","-0.98998","-0.00585"
"413.53000","-0.98998","-0.00578"
"413.63000","-0.98998","-0.00588"
"413.73000","-0.98998","-0.00585"
"413.83000","-0.98998","-0.00586"
"413.93000","-0.98998","-0.00581"
"414.03000","-0.98998","-0.00589"
"414.13000","-0.98998","-0.00594"
"414.23000","-0.98998","-0.00585"
"414.33000","-0.98998","-0.00584"
"414.43000","-0.98998","-0.00581"
"414.53000","-0.98998","-0.00576"
"414.63000","-0.98998","-0.00570"
"414.73000","-0.98998","-0.00573"
"414.83000","-0.98998","-0.00589"
"414.93000","-0.98998","-0.00581"
"415.03000","-0.98998","-0.00574"
"415.13000","-0.98998","-0.00577"
"415.23000","-0.98998","-0.00582"
"415.33000","-0.98998","-0.00586"
"415.43000","-0.98998","-0.00592"
"415.53000","-0.98998","-0.00582"
"415.63000","-0.98998","-0.00574"
"415.73000","-0.98998","-0.00579"
"415.83000","-0.98998","-0.00576"
"415.93000","-0.98998","-0.00578"
"416.03000","-0.98998","-0.00575"
"416.13000","-0.98998","-0.00586"
"416.23000","-0.98998","-0.00587"
"416.33000","-0.98998","-0.00576"
"416.43000","-0.98998","-0.00572"
"416.53000","-0.98998","-0.00568"
"416.63000","-0.98998","-0.00576"
"416.73000","-0.98998","-0.00585"
"416.83000","-0.98998","-0.00588"
"416.93000","-0.98998","-0.00583"
"417.03000","-0.98998","-0.00573"
"417.13000","-0.98998","-0.00583"
"417.23000","-0.98998","-0.00583"
"417.33000","-0.98998","-0.00577"
"417.43000","-0.98998","-0.00581"
"417.53000","-0.98998","-0.00584"
"417.63000","-0.98998","-0.00593"
"417.73000","-0.98998","-0.00582"
"417.83000","-0.98998","-0.00572"
"417.93000","-0.98998","-0.00574"
"418.03000","-0.98998","-0.00583"
"418.13000","-0.98998","-0.00588"
"418.23000","-0.98998","-0.00591"
"418.33000","-0.98998","-0.00575"
"418.43000","-0.98998","-0.00573"
"418.53000","-0.98998","-0.00573"
"418.63000","-0.98998","-0.00579"
"418.73000","-0.98998","-0.00584"
"418.83000","-0.98998","-0.00574"
"418.93000","-0.98998","-0.00571"
"419.03000","-0.98998","-0.00574"
"419.13000","-0.98998","-0.00581"
"419.23000","-0.98998","-0.00573"
"419.33000","-0.98998","-0.00571"
"419.43000","-0.98998","-0.00567"
"419.53000","-0.98998","-0.00569"
"419.63000","-0.98998","-0.00572"
"419.73000","-0.98998","-0.00569"
"419.83000","-0.98998","-0.00569"
"419.93000","-0.98998","-0.00567"
"420.03000","-0.98998","-0.00573"
"420.13000","-0.98998","-0.00577"
"420.23000","-0.98998","-0.00572"
"420.33000","-0.98998","-0.00574"
"420.43000","-0.98998","-0.00572"
"420.53000","-0.98998","-0.00575"
"420.63000","-0.98998","-0.00571"
"420.73000","-0.98998","-0.00566"
"420.83000","-0.98998","-0.00574"
"420.93000","-0.98998","-0.00577"
"421.03000","-0.98998","-0.00581"
"421.13000","-0.98998","-0.00573"
"421.23000","-0.98998","-0.00563"
"421.33000","-0.98998","-0.00572"
"421.43000","-0.98998","-0.00592"
"421.53000","-0.98998","-0.00580"
"421.63000","-0.98998","-0.00579"
"421.73000","-0.98998","-0.00565"
"421.83000","-0.98998","-0.00565"
"421.93000","-0.98998","-0.00582"
"422.03000","-0.98998","-0.00578"
"422.13000","-0.98998","-0.00574"
"422.23000","-0.98998","-0.00575"
"422.33000","-0.98998","-0.00571"
"422.43000","-0.98998","-0.00572"
"422.53000","-0.98998","-0.00578"
"422.63000","-0.98998","-0.00570"
"422.73000","-0.98998","-0.00575"
"422.83000","-0.98998","-0.00571"
"422.93000","-0.98998","-0.00573"
"423.03000","-0.98998","-0.00574"
"423.13000","-0.98998","-0.00564"
"423.23000","-0.98998","-0.00584"
"423.33000","-0.98998","-0.00576"
"423.43000","-0.98998","-0.00583"
"423.53000","-0.98998","-0.00577"
"423.63000","-0.98998","-0.00565"
"423.73000","-0.98998","-0.00576"
"423.83000","-0.98998","-0.00575"
"423.93000","-0.98998","-0.00578"
"424.03000","-0.98998","-0.00569"
"424.13000","-0.98998","-0.00571"
"424.23000","-0.98998","-0.00576"
"424.33000","-0.98998","-0.00580"
"424.43000","-0.98998","-0.00574"
"424.53000","-0.98998","-0.00574"
"424.63000","-0.98998","-0.00576"
"424.73000","-0.98998","-0.00578"
"424.83000","-0.98998","-0.00582"
"424.93000","-0.98998","-0.00574"
"425.03000","-0.98998","-0.00572"
"425.13000","-0.98998","-0.00566"
"425.23000","-0.98998","-0.00580"
"425.33000","-0.98998","-0.00581"
"425.43000","-0.98998","-0.00568"
"425.53000","-0.98998","-0.00574"
"425.63000","-0.98998","-0.00576"
"425.73000","-0.98998","-0.00572"
"425.83000","-0.98998","-0.00571"
